Year,Team,Matches,Win_Rate,Draw_Rate,Loss_Rate,Goals_For_Per_Game,Goals_Against_Per_Game,Goal_Difference_Per_Game,Points_Per_Game
2006,Togo,12,0.6666666666666666,0.16666666666666666,0.16666666666666666,1.8333333333333333,0.75,1.0833333333333333,2.1666666666666665
2006,Trinidad and Tobago,20,0.55,0.1,0.35,1.5,1.25,0.25,1.75
2006,Tunisia,10,0.6,0.3,0.1,2.5,0.9,1.6,2.1
2006,Ukraine,12,0.5833333333333334,0.3333333333333333,0.08333333333333333,1.5,0.5833333333333334,0.9166666666666666,2.0833333333333335
2006,United States,18,0.6666666666666666,0.2222222222222222,0.1111111111111111,1.9444444444444444,0.6111111111111112,1.3333333333333333,2.2222222222222223
2010,Algeria,13,0.6153846153846154,0.15384615384615385,0.23076923076923078,1.3076923076923077,0.6153846153846154,0.6923076923076923,2.0
2010,Argentina,18,0.4444444444444444,0.2222222222222222,0.3333333333333333,1.2777777777777777,1.1111111111111112,0.16666666666666666,1.5555555555555556
2010,Australia,14,0.6428571428571429,0.21428571428571427,0.14285714285714285,1.3571428571428572,0.2857142857142857,1.0714285714285714,2.142857142857143
2010,Brazil,18,0.5,0.3888888888888889,0.1111111111111111,1.8333333333333333,0.6111111111111112,1.2222222222222223,1.8888888888888888
2010,Cameroon,12,0.75,0.16666666666666666,0.08333333333333333,1.9166666666666667,0.3333333333333333,1.5833333333333333,2.4166666666666665
2010,Chile,18,0.5555555555555556,0.16666666666666666,0.2777777777777778,1.7777777777777777,1.2222222222222223,0.5555555555555556,1.8333333333333333
2010,Denmark,10,0.6,0.3,0.1,1.6,0.5,1.1,2.1
2010,England,10,0.9,0.0,0.1,3.4,0.6,2.8,2.7
2010,France,12,0.5833333333333334,0.3333333333333333,0.08333333333333333,1.6666666666666667,0.8333333333333334,0.8333333333333334,2.0833333333333335
2010,Germany,10,0.8,0.2,0.0,2.6,0.5,2.1,2.6
2010,Ghana,12,0.6666666666666666,0.08333333333333333,0.25,1.6666666666666667,0.6666666666666666,1.0,2.0833333333333335
2010,Greece,12,0.5833333333333334,0.25,0.16666666666666666,1.75,0.8333333333333334,0.9166666666666666,2.0
2010,Honduras,18,0.5555555555555556,0.1111111111111111,0.3333333333333333,1.7777777777777777,1.0,0.7777777777777778,1.7777777777777777
2010,Italy,10,0.7,0.3,0.0,1.8,0.7,1.1,2.4
2010,Ivory Coast,12,0.6666666666666666,0.3333333333333333,0.0,2.4166666666666665,0.5,1.9166666666666667,2.3333333333333335
2010,Japan,14,0.5714285714285714,0.2857142857142857,0.14285714285714285,1.6428571428571428,0.6428571428571429,1.0,2.0
2010,Mexico,18,0.6111111111111112,0.1111111111111111,0.2777777777777778,2.0,1.0,1.0,1.9444444444444444
2010,Netherlands,8,1.0,0.0,0.0,2.125,0.25,1.875,3.0
2010,New Zealand,2,0.5,0.5,0.0,0.5,0.0,0.5,2.0
2010,Nigeria,12,0.75,0.25,0.0,1.6666666666666667,0.4166666666666667,1.25,2.5
2010,North Korea,16,0.5,0.375,0.125,1.25,0.4375,0.8125,1.875
2010,Paraguay,18,0.5555555555555556,0.16666666666666666,0.2777777777777778,1.3333333333333333,0.8888888888888888,0.4444444444444444,1.8333333333333333
2010,Portugal,12,0.5833333333333334,0.3333333333333333,0.08333333333333333,1.5833333333333333,0.4166666666666667,1.1666666666666667,2.0833333333333335
2010,Serbia,10,0.7,0.1,0.2,2.2,0.8,1.4,2.2
